update_id,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,transaction_time,event_time
3319368707193,27981.80000000,0.18300000,27984.40000000,1.05100000,1696204804890,1696204807449
3319368709755,27981.80000000,0.18300000,27984.40000000,1.05000000,1696204804897,1696204807459
3319368709824,27981.70000000,2.82400000,27984.40000000,1.05000000,1696204804897,1696204807459
3319368710371,27981.70000000,2.82400000,27984.40000000,0.99600000,1696204804899,1696204807460
3319368711408,27981.70000000,2.82400000,27984.40000000,0.94200000,1696204804902,1696204807465
3319368711558,27981.70000000,2.82300000,27984.40000000,0.94200000,1696204804902,1696204807465
3319368711609,27981.70000000,2.82300000,27984.40000000,0.93300000,1696204804902,1696204807466
3319368713070,27981.70000000,2.82300000,27984.40000000,0.93200000,1696204804907,1696204807472
3319368713453,27981.70000000,2.82300000,27984.40000000,0.93100000,1696204804908,1696204807473
3319368713710,27981.70000000,2.82300000,27984.40000000,0.93000000,1696204804909,1696204807474
3319368713870,27981.70000000,2.82200000,27984.40000000,0.93000000,1696204804909,1696204807474
3319368713941,27981.70000000,2.84000000,27984.40000000,0.93000000,1696204804910,1696204807475
3319368713942,27982.10000000,0.01800000,27984.40000000,0.93000000,1696204804910,1696204807475
3319368713944,27982.30000000,0.01800000,27984.40000000,0.93000000,1696204804910,1696204807475
3319368713997,27982.30000000,0.03600000,27984.40000000,0.93000000,1696204804910,1696204807475
3319368713998,27982.40000000,0.01800000,27984.40000000,0.93000000,1696204804910,1696204807475
3319368713999,27982.60000000,0.01800000,27984.40000000,0.93000000,1696204804910,1696204807475
3319368714098,27982.60000000,0.01800000,27984.40000000,0.92400000,1696204804910,1696204807475
3319368714124,27982.60000000,0.01800000,27984.40000000,0.92000000,1696204804910,1696204807475
3319368714153,27982.60000000,0.03600000,27984.40000000,0.92000000,1696204804910,1696204807477
3319368714154,27982.60000000,0.05400000,27984.40000000,0.92000000,1696204804910,1696204807477
3319368714696,27982.60000000,0.05400000,27984.40000000,0.91600000,1696204804912,1696204807479
3319368715541,27982.60000000,0.05400000,27985.90000000,0.67300000,1696204804914,1696204807481
3319368715786,27986.30000000,0.12700000,27987.20000000,3.40200000,1696204804915,1696204807483
3319368716686,27986.30000000,0.09700000,27987.20000000,3.40200000,1696204804918,1696204807487
3319368718146,27986.30000000,0.09700000,27987.20000000,3.40100000,1696204804922,1696204807490
3319368719274,27986.30000000,0.09700000,27987.20000000,2.98800000,1696204804927,1696204807496
3319368719412,27986.30000000,0.09400000,27987.20000000,2.98800000,1696204804927,1696204807496
3319368721563,27984.60000000,0.62000000,27987.20000000,2.98800000,1696204804935,1696204807504
3319368721584,27984.60000000,0.61900000,27987.20000000,2.98800000,1696204804935,1696204807505
3319368723851,27984.60000000,0.61800000,27987.20000000,2.98800000,1696204804943,1696204807514
3319368723898,27984.60000000,0.61800000,27984.90000000,0.00100000,1696204804943,1696204807514
3319368724791,27984.60000000,0.61800000,27987.20000000,2.98800000,1696204804947,1696204807518
3319368725587,27984.60000000,0.61800000,27987.20000000,2.89800000,1696204804949,1696204807519
3319368727009,27984.60000000,0.61500000,27987.20000000,2.89800000,1696204804954,1696204807524
3319368727670,27984.60000000,0.61500000,27987.20000000,2.68800000,1696204804957,1696204807526
3319368729193,27984.60000000,0.46200000,27987.20000000,2.68800000,1696204804961,1696204807532
3319368730347,27984.60000000,0.46200000,27987.20000000,2.68600000,1696204804965,1696204807535
3319368732033,27984.60000000,0.46200000,27987.20000000,2.82800000,1696204804971,1696204807543
3319368732157,27984.60000000,0.46200000,27987.20000000,2.96000000,1696204804972,1696204807543
3319368732234,27984.60000000,0.46200000,27984.90000000,0.05700000,1696204804972,1696204807543
3319368735296,27984.60000000,0.46200000,27984.90000000,0.05600000,1696204804985,1696204807555
3319368735313,27984.60000000,0.46200000,27984.90000000,0.05500000,1696204804985,1696204807555
3319368735447,27984.60000000,0.46200000,27984.90000000,0.05400000,1696204804985,1696204807556
3319368735633,27984.60000000,0.46000000,27984.90000000,0.05400000,1696204804986,1696204807556
3319368735890,27984.60000000,0.46000000,27984.90000000,0.32000000,1696204804987,1696204807557
3319368737087,27984.60000000,0.46000000,27984.90000000,0.43600000,1696204804992,1696204807560
3319368737291,27984.60000000,0.46000000,27984.90000000,0.43500000,1696204804993,1696204807562
3319368738824,27984.60000000,0.46000000,27984.90000000,0.16900000,1696204804999,1696204807567
3319368739488,27984.60000000,0.46000000,27984.90000000,0.05300000,1696204805002,1696204807570
3319368739510,27984.60000000,0.46000000,27984.90000000,0.22900000,1696204805002,1696204807570
3319368742060,27984.60000000,0.46000000,27984.90000000,0.05100000,1696204805013,1696204807580
3319368742155,27984.60000000,0.46000000,27984.90000000,0.08800000,1696204805013,1696204807581
3319368742157,27984.60000000,0.46000000,27984.90000000,0.12500000,1696204805013,1696204807581
3319368743847,27984.60000000,0.46000000,27984.70000000,0.00400000,1696204805020,1696204807586
3319368744053,27984.60000000,0.46000000,27987.20000000,2.55900000,1696204805021,1696204807588
3319368744316,27984.60000000,0.46000000,27987.20000000,0.73500000,1696204805022,1696204807591
3319368744717,27984.60000000,0.46000000,27984.70000000,0.70300000,1696204805024,1696204807593
3319368745049,27984.60000000,0.43700000,27984.70000000,0.70300000,1696204805026,1696204807593
3319368745210,27984.60000000,0.43700000,27984.70000000,0.69700000,1696204805027,1696204807593
3319368745226,27984.60000000,0.43700000,27984.70000000,0.69100000,1696204805027,1696204807593
3319368745319,27984.60000000,0.43700000,27984.70000000,0.21400000,1696204805027,1696204807594
3319368746334,27984.60000000,0.43700000,27984.70000000,0.18900000,1696204805032,1696204807601
3319368746816,27987.20000000,1.30600000,27989.40000000,0.06800000,1696204805034,1696204807601
3319368746844,27987.20000000,1.30600000,27989.40000000,0.06700000,1696204805034,1696204807601
3319368748328,27987.20000000,1.30600000,27991.00000000,1.63700000,1696204805039,1696204807603
3319368748798,27987.20000000,1.30600000,27991.00000000,1.54600000,1696204805041,1696204807604
3319368750041,27987.20000000,1.30600000,27991.00000000,1.42400000,1696204805045,1696204807611
3319368750892,27987.20000000,1.30500000,27991.00000000,1.42400000,1696204805047,1696204807615
3319368754687,27987.20000000,1.30500000,27988.60000000,0.05400000,1696204805059,1696204807628
